budget,genres,original_language,original_title,release_date,revenue,runtime,actors,studios,countries,directors,producers
237000000,"Action, Adventure, Fantasy, Science Fiction",en,Avatar,2009-12-10,2847246203,162.0,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso, Dileep Rao, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence, Kelly Kilgour, James Patrick Pitt, Sean Patrick Murphy, Peter Dillon, Kevin Dorman, Kelson Henderson, David Van Horn, Jacob Tomuri, Michael Blain-Rozgay, Jon Curry, Julene Renee, Luke Hawker, Woody Schultz, Peter Mensah, Sonia Yee, Jahnel Curfman, Ilram Choi, Kyla Warren, Alicia Vela-Bailey, Kyle Dryberg, Larry Rew, Dina Morrone","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","United States of America, United Kingdom",James Cameron,"James Cameron, Jon Landau"
356000000,"Adventure, Science Fiction, Action",en,Avengers: Endgame,2019-04-24,2797800564,181.0,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman, Brie Larson, Tom Holland, Karen Gillan, Zoe Saldana, Evangeline Lilly, Tessa Thompson, Rene Russo, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Tom Hiddleston, Danai Gurira, Benedict Wong, Pom Klementieff, Dave Bautista, Letitia Wright, John Slattery, Tilda Swinton, Jon Favreau, Hayley Atwell, Natalie Portman, Marisa Tomei, Taika Waititi, Angela Bassett, Michael Douglas, Michelle Pfeiffer, William Hurt, Cobie Smulders, Sean Gunn, Winston Duke, Linda Cardellini, Maximiliano Hernández, Frank Grillo, Hiroyuki Sanada, Tom Vaughan-Lawlor, James D'Arcy, Jacob Batalon, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Robert Redford, Josh Brolin, Chris Pratt, Samuel L. Jackson, Lexi Rabe, Joe Russo, Ross Marquand, Emma Fuhrmann, Michael James Shaw, Terry Notary, Kerry Condon, Ben Sakamoto, Ava Russo, Cade Woodward, Stan Lee, Yvette Nicole Brown, Callan Mulvey, Lia Russo, Julian Russo, Taylor Patterson, Agostino Rosalina, Ken Jeong, Ty Simpkins, Jackson A. Dunn, Lee Moore, Bazlo LeClair, Loen LeClair, Matthew Berry, Joy McAvoy, John Michael Morris, Michael A. Cook, Brent McGee, Brian Schaeffer, Jamie Wedel, Anthony G Breed, Erica Ribley, Monique Ganderton, Jim Starlin, Jimmy Ray Pickens, Hye Jin Jang, Russell Bobbitt, James Lin, Jack Champion, Sam Hargrave, Patrick Gorman, Aaron Lazar, Robert Pralgo, Tom Wisdom, John Posey, Ameenah Kaplan, Olaniyan Thurmon, Jennifer Elmore, Mike Lutz",Marvel Studios,United States of America,"Anthony Russo, Joe Russo",Kevin Feige
200000000,"Drama, Romance",en,Titanic,1997-11-18,2187463944,194.0,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Lewis Abernathy, Suzy Amis, Nicholas Cascone, Danny Nucci, Jason Barry, Lew Palter, Eric Braeden, Ewan Stewart, Bernard Fox, Ioan Gruffudd, Jonny Phillips, Edward Fletcher, Scott G. Anderson, Martin East, Gregory Cooke, Alexandrea Owens, Seth Adkins, Michael Ensign, Anatoly M. Sagalevitch, Martin Hub, Mark Lindsay Chapman, Richard Graham, Paul Brightwell, Craig Kelly, Ron Donachie, Charlotte Chatton, Fannie Brett, Jenette Goldstein, Camilla Overbye Roos, Linda Kerns, Amy Gaipa, Martin Jarvis, Rosalind Ayres, Rochelle Rose, Jonathan Evans-Jones, Rocky Taylor, Liam Tuohy, Simon Crane, James Lancaster, Elsa Raven, Reece P. Thompson III, Laramie Landis, Mark Rafael Truitt, John Walcutt, Terry Forrestal, Derek Lea, Richard Ashton, Sean Nepita, Brendan Connolly, David Cronnelly, Garth Wilton, Richard Fox, Nick Meaney, Kevin Owers, Mark Capri, Marc Cass, Paul Herbert, Emmett James, Chris Byrne, Oliver Page, James Garrett, Erik Holland, Jari Kinnunen, Anders Falk, Barry Dennen, Vern Urich, Rebecca Klingler, Tricia O'Neil, Kathleen S. Dunn, Romeo Francis, Mandana Marino, Van Ling, Bjørn Olsen, Dan Pettersson, Shay Duffin, Greg Ellis, Diana Morgan, Kris Andersson, Bobbie Bates, Aaron James Cash, Anne Fletcher, Edmond Alan Forsyth, Andie Hicks, Scott Hislop, Stan Mazin, Lisa Ratzin, Julene Renee, Brian Walsh, Alexandra Boyd, James Cameron, Mike Butters, Bruno Campolo, Kevin De La Noy, Tony Kenny, Sean Lawlor, Don Lynch, Johnny Martin, Ryan McClurkin, Meghan McLeod, Mike O'Neal, Phil Parlapiano, Steven Quale, R. Gern Trowbridge, Olivia Rosewood, John Slade","Paramount, 20th Century Fox, Lightstorm Entertainment",United States of America,James Cameron,"James Cameron, Jon Landau"
245000000,"Action, Adventure, Science Fiction, Fantasy",en,Star Wars: The Force Awakens,2015-12-15,2068223624,136.0,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Lupita Nyong'o, Andy Serkis, Domhnall Gleeson, Anthony Daniels, Max von Sydow, Peter Mayhew, Gwendoline Christie, Joonas Suotamo, Pip Andersen, Simon Pegg, Kiran Shah, Sasha Frost, Pip Torrens, Andrew Jack, Rocky Marshall, Greg Grunberg, Emun Elliott, Brian Vernel, Yayan Ruhian, Sebastian Armesto, Maisie Richardson-Sellers, Warwick Davis, Cailey Fleming, Mark Stanley, Ken Leung, Iko Uwais, Anna Brewster, Harriet Walter, Tim Rose, Erik Bauersfeld, Mike Quinn, Bill Kipsang Rotich, Michael Giacchino, Nigel Godrich, Judah Friedlander, Victor McGuire, Miltos Yerolemou, Billie Lourd, Leanne Best, Crystal Clarke, Jeffery Kissoon, Claudia Sermbezis, Gerald W. Abrams, Jim McGrath, Philicia Saunders, Morgan Dameron, Jessica Henwick, Tosin Cole, James McArdle, Stefan Grube, Dixie Arnold, Hannah John-Kamen, Kate Fleetwood, Thomas Brodie-Sangster, Brian Herring, Dave Chapman, Jimmy Vee, Cecep Arif Rahman, Ian Whyte, Daniel Craig, Ewan McGregor, Frank Oz, Alec Guinness, Tom Kane, Catherine Taber, Matthew Wood, Samuel Witwer, Meredith Salenger, James Arnold Taylor, Michael Donovan, Devon Libran, Robert Stambler, Verona Blue, Fred Tatasciore, Patrick Correll, Karen Huie, Orly Schuchmacher, Ben Schwartz, Mark Dodson, Liang Yang, David Acord, Jamie B. Chambers, David M. Santana, Francesca Longrigg, D.C. Barns, Tom Edden, Richard Riddell, Jefferson Hall, Jack Laskey, Christina Chong, Daniel Adjei, Charlie Akin, Adrian Allan, Samantha Alleyne, Paul Biddiss, Hannah Blamires, Rony Bridges, Stuart Budd, Calvin Chen, Alan Chimes, Jamie Clay, Bern Collaço, David W. Collins, Cavin Cornwall, Rowan Cox, Nathalie Cuzner, Rimmel Daniel, Keith De'Winter, Adrian Derrick-Palmer, Michael Dickins, Nick Donald, Cameron Edwards, Mick Fryer-Kelsey, Jesse Michael Fullington, Gloria García, Salo Gardner, Caroline Garnell, Chris Geden, Clare Glass, Versha Grant, Steven James Griffiths, Gary Hailes, Tim Hammersley, Chris Hastings, Marina Hayter, Kelvin Hewlett, Matthew Hobbs, Phil Hodges, Leigh Holland, Kevin Hudson, Phoenix James, Zander James, Tobias James-Samuels, Paul Kasey, Aaron Kennedy, Aidan Knight, Sanj Krishnan, Lukas Landau, Andrei Lenart, Jorge Leon Martinez, Julia Leyland, Billy James Machin, Hamza Malik, Raymond Mamrak, Kelsey Edwards, Kenny-Lee Mbanefo, David McCarrison, Sandeep Mohan, Benjayx Murphy, Robert Nairne, Charlie Nevett, Jason Nicholls, Terry Noble, David Norfolk, Tatsujiro Oto, Gillian Pittaway, Nathan Plant, Elroy Powell, Jay Rincon, Marc Rolfe, Julio Romeo, Mark Flynn Rutter, Arti Shah, Kat Sheridan, Stephanie Silva, Jasper Skinner, Sandy Kate Slade, Clem So, Benito Sovrano, Karol Steele, Sternkiker François, Frank Stone, Andy Sweet, Peter Theobalds, Pablo Verdejo, Ashley Ward, Paul Warren, Topo Wresniwiro, Joshua Ásberg, Bill Hader, Joe Cash","Lucasfilm, Bad Robot",United States of America,J.J. Abrams,"Kathleen Kennedy, J.J. Abrams, Bryan Burk"
300000000,"Adventure, Action, Science Fiction",en,Avengers: Infinity War,2018-04-25,2046239637,149.0,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Don Cheadle, Zoe Saldana, Karen Gillan, Elizabeth Olsen, Paul Bettany, Anthony Mackie, Sebastian Stan, Tom Hiddleston, Idris Elba, Danai Gurira, Peter Dinklage, Benedict Wong, Pom Klementieff, Dave Bautista, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio del Toro, Josh Brolin, Chris Pratt, Sean Gunn, William Hurt, Letitia Wright, Terry Notary, Tom Vaughan-Lawlor, Carrie Coon, Michael James Shaw, Stan Lee, Winston Duke, Florence Kasumba, Kerry Condon, Monique Ganderton, Jacob Batalon, Tiffany Espensen, Isabella Amara, Ethan Dizon, Ariana Greenblatt, Ameenah Kaplan, Ross Marquand, Michael Anthony Rogers, Stephen McFeely, Aaron Lazar, Robert Pralgo, Olaniyan Thurmon, Blair Jasin, Matthew Zuk, Laura Miller, Kenneth Branagh, Samuel L. Jackson, Cobie Smulders, Harrison Osterfield, Gary Peebles, Marija Abney, Zola Williams, Marie Mouroum, James Siderits, Precious Jenkins",Marvel Studios,United States of America,"Anthony Russo, Joe Russo","Kevin Feige, Chris Castaldi"
200000000,"Action, Adventure, Science Fiction",en,Spider-Man: No Way Home,2021-12-15,1775000000,148.0,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire, Angourie Rice, Arian Moayed, Paula Newsome, Hannibal Buress, Martin Starr, J.B. Smoove, J.K. Simmons, Rhys Ifans, Charlie Cox, Thomas Haden Church, Haroon Kahn, Emily Lue Fong, Mary Rivera, Rudy Eisenzopf, Kathleen Cardoso, Jonathan Sam, Andrew Dunlap, Ben VanderMey, Zany Dunlap, B. Clutch Dunlap, Minnah Dunlap, Gary Weeks, Gregory Konow, Carol Anne Dines, Anisa Nyell Johnson, Willie Burton, Mallory Hoff, Greg Clarkson, Regina Ting Chen, Robert Mitchel Owenby, Glenn Keogh, Paris Benjamin, Jwaundace Candece, Taylor St. Clair, Gabriella Cila, Darnell Appling, Rolando Fernandez, Edward Force, Michael Le, Dean Meminger, Frederick A. Brown, Cristo Fernández, Clay Savage, Tom Hardy, Jay Karales, Jake Gyllenhaal","Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America,Jon Watts,"Kevin Feige, Amy Pascal"
150000000,"Action, Adventure, Science Fiction, Thriller",en,Jurassic World,2015-06-06,1671713208,124.0,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Nick Robinson, Vincent D'Onofrio, BD Wong, Omar Sy, Jake Johnson, Irrfan Khan, Judy Greer, Lauren Lapkus, Brian Tee, Katie McGrath, Andy Buckley, Eric Edelstein, Courtney J. Clark, Colby Boothman, Jimmy Fallon, James DuMont, Matt Burke, Anna Talakkottur, Matthew Cardarople, Michael Papajohn, William Gary Smith, Kelly Washington, Isaac Keys, Patrick Crowley, Chad Randall, Gary Weeks, Bill Ogilvie, Allan Tam, Yvonne Angulo, Chloe Perrin, Timothy Eulich, Kevin Foster, Bonnie Wild, Brad Bird, Colin Trevorrow, Erika Erica, Tiffany Forest, Brandon Marc Higa, Arlene Newman, Tait Fletcher, Jimmy Buffett, Eddie J. Fernandez, Tim Connolly, Justin Lacalamita, Johnny Otto","Amblin Entertainment, Legendary Pictures, Universal Pictures, DENTSU, The Kennedy/Marshall Company",United States of America,Colin Trevorrow,"Frank Marshall, Patrick Crowley"
260000000,"Adventure, Family, Animation",en,The Lion King,2019-07-12,1667635327,118.0,"Chiwetel Ejiofor, John Oliver, James Earl Jones, John Kani, Alfre Woodard, JD McCrary, Shahadi Wright Joseph, Penny Johnson, Keegan-Michael Key, Eric André, Florence Kasumba, Seth Rogen, Billy Eichner, Amy Sedaris, Chance the Rapper, Josh McCrary, Donald Glover, Beyoncé, Phil LaMarr, J. Lee","Walt Disney Pictures, Fairview Entertainment",United States of America,Jon Favreau,"Jon Favreau, Jeffrey Silver, Karen Gilchrist"
220000000,"Science Fiction, Action, Adventure",en,The Avengers,2012-04-25,1518815515,143.0,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Samuel L. Jackson, Cobie Smulders, Clark Gregg, Stellan Skarsgård, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko, Jerzy Skolimowski, Kirill Nikiforov, Jeff Wolfe, M'laah Kaur Singh, Rashmi Rustagi, Powers Boothe, Jenny Agutter, Arthur Darbinyan, Donald Li, Warren Kole, Alicia Sixtos, Maximiliano Hernández, Dieter Riesle, Kenneth Tigar, Walter Perez, Harry Dean Stanton, Josh Cowdery, Ashley Johnson, Katsumi Komatsu, Yumiko Komatsu, Robert Clohessy, Enver Gjokaj, Fernanda Toker, Andrea Vecchio, Robin Swoboda, Brent McGee, Jamie McShane, Michael Zhang, William-Christopher Stephens, Kelley Robins Hicks, Romy Rosemont, James Eckhouse, Stan Lee, Thomas Roberts, Pat Kiernan, Damion Poitier, Lou Ferrigno, Jesse Garcia, Momoko Komatsu, Jillian Morgese, Catherine Anderson, Ricardo Andres, Logan Bennett, Mayank Bhatter, Sharita Bone, Jason Botsford, Mary Kate Campbell, Gene N. Chavez, Layla Cushman, Robert Dean, Rick Dremann, Rod Fielder, Eric Frank, Israel Hall, Carmen Dee Harris, Alexander Christopher Jones, Mike Karban, Demoine Kinney, Andrew Knode, Annette Lawless, Kimberly J. Mahoney, Todd Manes, Jorge Mardel, Tiffany Sander McKenzie, Michael McMillan, Sean Meehan, Holly Neelie, Caleb Daniel Noal, Jeremy Orr, Nate Paige, Martin Palmer, Maria Perossa, Caleb Pieplow, Alexander Daniel Pimentel, Frank Powers, Jaime Powers, Brent Reichert, Kelly Ruble, Gina Sarno, Robert B. Schneider IV, Jeff Seich, Christina Shaffer, Douglas Slygh, Colin Strause, Robert P. Thitoff, George Thomas, Shane Thompson, Jerry Lee Tucker, Tai Urban, Chris Vaina, Sandra Weston, Seth Zielicke, Alex DeCourville, Andrea-Nichole Olivas, Tina Grimm, Evan Kole, Hank Amos, Ryan Cordaro",Marvel Studios,United States of America,Joss Whedon,Kevin Feige
190000000,"Action, Thriller, Crime, Adventure",en,Furious 7,2015-04-01,1515047671,137.0,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Ludacris, Jordana Brewster, Djimon Hounsou, Tony Jaa, Ronda Rousey, Nathalie Emmanuel, Kurt Russell, Jason Statham, Sung Kang, Gal Gadot, Lucas Black, Elsa Pataky, Noel Gugliemi, John Brotherton, Luke Evans, Ali Fazal, Miller Kimsey, Charlie Kimsey, Eden Estrella, Gentry White, Iggy Azalea, Jon Lee Brody, Levy Tran, Anna Colwell, Viktor Hernandez, Steve Coulter, Robert Pralgo, Antwan Mills, J.J. Phillips, Jorge Ferragut, Sara Sohn, Benjamin Blankenship, D.J. Hapa, T-Pain, Brian Mahoney, Brittney Alger, Romeo Santos, Jocelin Donahue, Stephanie Langston, Jorge-Luis Pallo, Tego Calderón, Nathalie Kelley, Shad Moss, Don Omar, Klement Tinaj, Caleb Walker, Cody Walker, Lateef Crowder, Dennis Keiffer, Tara Macken, John Koyama, Aaron J. Brooks","Abu Dhabi Film Commission, Universal Pictures, China Film Co., Original Film, Fuji Television Network, Québec Production Services Tax Credit, Colorado Office of Film, Television & Media, DENTSU, MRC, One Race","Canada, China, Japan, United Arab Emirates, United States of America",James Wan,"Michael Fottrell, Neal H. Moritz, Vin Diesel, Brandon Birtell"
